FREQ;DUUR;TIJDSEENHEID;Q;BRON;PERIODE;REF_JAAR;SCENARIO;;
10;2;uur;7;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
5;2;uur;10;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
2;2;uur;15;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
1;2;uur;19;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,5;2;uur;24;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,2;2;uur;30;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,1;2;uur;35;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,05;2;uur;41;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,02;2;uur;49;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,01;2;uur;56;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
10;4;uur;9;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
5;4;uur;12;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
2;4;uur;18;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
1;4;uur;22;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,5;4;uur;27;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,2;4;uur;34;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,1;4;uur;40;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,05;4;uur;46;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,02;4;uur;54;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,01;4;uur;61;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
10;8;uur;11;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
5;8;uur;15;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
2;8;uur;21;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
1;8;uur;26;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,5;8;uur;32;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,2;8;uur;39;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,1;8;uur;45;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,05;8;uur;52;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,02;8;uur;61;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,01;8;uur;68;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
10;12;uur;12;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
5;12;uur;17;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
2;12;uur;24;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
1;12;uur;29;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,5;12;uur;35;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,2;12;uur;43;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,1;12;uur;49;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,05;12;uur;56;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,02;12;uur;66;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,01;12;uur;74;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
10;24;uur;15;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
5;24;uur;21;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
2;24;uur;30;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
1;24;uur;36;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,5;24;uur;42;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
0,2;24;uur;51;Grondwaterzakboekje 2016 tabel 1.5 p.4;Jaar;2014;;;
